SubscriptionID;DeliveryType;DeliveryClass;DeliveryContext;StartDate;EndDate
1009446;MD;ABN;;27/01/2010;27/01/2010
1009446;MD;NOR;;28/01/2010;25/03/2010
1009511;MD;NOR;;07/02/2010;08/03/2011
1009622;MD;NOR;;28/01/2010;27/01/2011
100976;MD;NOR;;01/01/2008;27/05/2008
100976;MD;NOR;;31/05/2008;30/06/2008
100976;DR;NOR;VAC;28/05/2008;30/05/2008
100977;MD;NOR;;02/07/2007;31/12/2007
100978;MD;NOR;;02/01/2007;30/06/2007
1009867;MD;NOR;;26/02/2010;26/07/2010
1009867;MD;NOR;;03/08/2010;25/02/2011
1009867;DR;NOR;VAC;27/07/2010;02/08/2010
1009919;MD;NOR;;26/02/2010;25/02/2011
1009920;MD;NOR;PCH;26/02/2010;11/07/2010
1009920;MD;NOR;PCH;17/07/2010;03/03/2011
1009920;DI;;VAC;12/07/2010;16/07/2010
1009942;MD;NOR;PCH;26/02/2010;08/06/2010
1009942;MD;NOR;PCH;30/06/2010;19/03/2011
1009942;DI;;VAC;09/06/2010;29/06/2010
1010012;MD;NOR;REN;26/02/2010;29/05/2010
1010151;MD;NOR;;30/01/2010;06/02/2010
1010228;MD;ABN;;28/01/2010;28/01/2010
1010228;MD;NOR;;29/01/2010;27/01/2011
1010248;MD;ABN;;28/01/2010;28/01/2010
1010248;MD;NOR;;29/01/2010;27/01/2011
1010293;MD;NOR;REN;18/02/2010;18/03/2011
1010402;MD;NOR;;29/01/2010;27/01/2011
1010402;MD;ABN;;28/01/2010;28/01/2010
1010450;MD;NOR;;06/02/2010;27/02/2010
1010450;MD;NOR;;05/03/2010;19/02/2011
1010450;MD;ABN;;04/03/2010;04/03/2010
1010450;DI;;NPA;28/02/2010;03/03/2010
1010468;MD;ABN;;28/01/2010;28/01/2010
1010468;MD;NOR;;29/01/2010;26/03/2010
1010551;MD;NOR;;27/02/2010;26/02/2011
1010610;MD;NOR;PCH;27/02/2010;26/02/2011
1010626;MD;NOR;;27/02/2010;05/04/2010
1010626;MD;NOR;;14/04/2010;24/07/2010
1010626;MD;NOR;;05/08/2010;17/03/2011
1010626;DI;;VAC;06/04/2010;13/04/2010
1010626;DI;;VAC;25/07/2010;04/08/2010
1010643;MD;NOR;;27/02/2010;15/05/2010
1010745;MD;NOR;PCH;27/02/2010;10/03/2010
1010745;MD;ABN;PCH;11/03/2010;12/03/2010
1010745;MD;NOR;PCH;13/03/2010;26/02/2011
1010772;MD;NOR;PCH;27/02/2010;31/05/2010
1010832;MD;NOR;ACH;27/02/2010;31/05/2010
1010854;MD;NOR;REN;30/01/2010;07/05/2010
1010881;MD;NOR;;27/02/2010;31/05/2010
1011024;MD;ABN;;29/01/2010;29/01/2010
1011024;DR;NOR;OTH;26/04/2010;30/04/2010
1011024;MD;NOR;;30/01/2010;25/04/2010
1011024;MD;NOR;;01/05/2010;28/01/2011
1011237;MD;NOR;PCH;28/02/2010;28/02/2011
1011258;MD;NOR;;28/02/2010;28/02/2011
1011321;MD;NOR;ACH;28/02/2010;19/03/2011
1011372;MD;NOR;;28/02/2010;28/02/2011
1011376;MD;NOR;PCH;28/02/2010;04/09/2010
1011473;MD;ABN;REN;29/01/2010;30/01/2010
1011473;MD;ABN;REN;31/01/2010;01/02/2010
1011473;MD;NOR;REN;02/02/2010;06/05/2010
1011516;MD;NOR;REN;02/03/2010;02/06/2010
1011521;MD;NOR;PCH;28/02/2010;01/06/2010
1011593;MD;NOR;;03/02/2010;02/02/2011
1011630;MD;NOR;PCH;28/02/2010;01/06/2010
1011652;MD;NOR;;28/02/2010;01/06/2010
1011748;MD;NOR;;02/02/2010;01/04/2010
1011748;MD;ABN;;01/02/2010;01/02/2010
1011790;MD;NOR;;03/02/2010;01/04/2010
1011845;MD;NOR;;27/07/2010;25/07/2011
1011922;DR;NOR;VAC;23/08/2010;28/08/2010
1011922;MD;NOR;;02/03/2010;26/07/2010
1011922;MD;NOR;;03/08/2010;22/08/2010
1011922;MD;NOR;;29/08/2010;08/03/2011
1011922;DI;;VAC;27/07/2010;02/08/2010
1012019;MD;NOR;PCH;02/03/2010;01/03/2011
1012086;MD;NOR;PCH;02/03/2010;01/03/2011
1012215;DR;NOR;VAC;16/07/2010;23/07/2010
1012215;MD;NOR;REN;03/03/2010;04/04/2010
1012215;MD;NOR;REN;09/04/2010;15/07/2010
1012215;MD;NOR;REN;24/07/2010;05/03/2011
1012215;DI;;VAC;05/04/2010;08/04/2010
1012441;MD;NOR;PCH;02/03/2010;01/03/2011
101250;MD;NOR;;19/10/2008;20/10/2009
101251;MD;NOR;;22/09/2007;18/10/2008
101252;MD;NOR;;22/06/2007;21/09/2007
101253;MD;NOR;;22/03/2007;21/06/2007
101254;MD;NOR;;22/12/2006;21/03/2007
1012594;DR;NOR;VAC;25/09/2010;02/10/2010
1012594;DR;NOR;VAC;19/06/2010;29/06/2010
1012594;DR;NOR;VAC;18/12/2010;23/12/2010
1012594;DR;NOR;VAC;04/09/2010;11/09/2010
1012594;DR;NOR;VAC;10/05/2010;15/05/2010
1012594;MD;NOR;PCH;02/03/2010;09/05/2010
1012594;MD;NOR;PCH;24/12/2010;01/03/2011
1012594;MD;NOR;PCH;16/05/2010;18/06/2010
1012594;MD;NOR;PCH;30/06/2010;03/09/2010
1012594;MD;NOR;PCH;12/09/2010;24/09/2010
1012594;MD;NOR;PCH;03/10/2010;17/12/2010
1012987;MD;NOR;PCH;02/03/2010;01/03/2011
1013149;MD;NOR;;03/03/2010;02/03/2011
1013207;MD;NOR;PCH;02/03/2010;01/03/2011
1013226;MD;NOR;PCH;02/03/2010;01/03/2011
1013257;MD;NOR;;04/03/2010;05/03/2011
1013337;MD;NOR;PCH;03/03/2010;03/05/2010
1013337;MD;NOR;PCH;08/05/2010;02/03/2011
1013337;DR;NOR;VAC;04/05/2010;07/05/2010
1013395;DR;NOR;VAC;21/04/2010;20/05/2010
1013395;DR;NOR;VAC;10/07/2010;15/07/2010
1013395;MD;NOR;;02/03/2010;20/04/2010
1013395;MD;NOR;;21/05/2010;09/07/2010
1013395;MD;NOR;;16/07/2010;29/08/2010
1013395;MD;NOR;;25/09/2010;01/03/2011
1013395;DR;NOR;VAC;30/08/2010;24/09/2010
1013591;MD;NOR;REN;03/03/2010;02/03/2011
101362;MD;NOR;;01/01/2008;23/12/2008
1013621;MD;NOR;;03/03/2010;02/03/2011
101363;MD;NOR;;02/01/2007;31/12/2007
101364;MD;NOR;;13/11/2007;13/05/2008
101365;MD;NOR;;14/05/2007;01/07/2007
101365;MD;NOR;;08/07/2007;29/07/2007
101365;MD;NOR;;12/08/2007;12/11/2007
101365;DR;NOR;;30/07/2007;11/08/2007
101365;DR;NOR;;02/07/2007;07/07/2007
101366;MD;NOR;;13/11/2006;12/05/2007
1013721;MD;NOR;;02/03/2010;01/03/2011
1013821;MD;NOR;;02/03/2010;01/03/2011
1013860;MD;NOR;;02/03/2010;01/03/2011
1013985;MD;NOR;REN;02/03/2010;12/08/2010
1013985;MD;NOR;ACH;13/08/2010;31/08/2010
1014015;MD;NOR;PCH;02/03/2010;01/03/2011
1014181;MD;NOR;;04/03/2010;13/09/2010
1014226;MD;NOR;ACH;02/03/2010;02/06/2010
1014261;MD;NOR;;02/03/2010;02/06/2010
1014299;MD;NOR;;02/03/2010;02/06/2010
1014326;MD;NOR;;02/03/2010;02/06/2010
1014450;MD;NOR;REN;02/03/2010;04/04/2010
1014450;MD;NOR;REN;14/04/2010;10/06/2010
1014450;DI;;OTH;05/04/2010;13/04/2010
1014590;MD;NOR;;04/03/2010;04/06/2010
1014830;MD;NOR;;03/03/2010;03/06/2010
1014861;MD;NOR;ACH;16/02/2010;16/03/2010
1014903;MD;NOR;;02/03/2010;02/06/2010
1014922;MD;NOR;;17/02/2010;17/03/2010
1014936;MD;NOR;PCH;16/02/2010;16/03/2010
1014964;MD;NOR;;16/02/2010;16/03/2010
1014980;MD;NOR;;17/02/2010;17/03/2010
1015035;MD;NOR;PCH;17/02/2010;17/03/2010
1015040;MD;NOR;;04/02/2010;29/06/2010
1015040;MD;ABN;;03/02/2010;03/02/2010
1015056;MD;NOR;;17/02/2010;17/03/2010
1015269;MD;NOR;;04/02/2010;30/09/2010
1015269;MD;NOR;;11/10/2010;02/02/2011
1015269;DR;NOR;VAC;01/10/2010;10/10/2010
1015269;MD;ABN;;03/02/2010;03/02/2010
101552;MD;NOR;;10/05/2008;09/05/2009
101553;MD;NOR;;10/05/2007;09/05/2008
101554;MD;NOR;;10/05/2006;09/05/2007
101574;MD;NOR;;13/03/2008;12/03/2009
101575;MD;NOR;;13/03/2007;12/03/2008
101576;MD;NOR;;13/03/2006;12/03/2007
1015793;MD;NOR;;05/03/2010;05/06/2010
1015848;MD;ABN;;19/03/2010;19/03/2010
1015848;MD;NOR;;05/03/2010;16/03/2010
1015848;MD;NOR;;20/03/2010;09/06/2010
1015848;DI;;NPA;17/03/2010;18/03/2010
1015950;MD;NOR;PCH;05/03/2010;25/05/2010
1015950;MD;NOR;PCH;02/06/2010;12/06/2010
1015950;DI;;VAC;26/05/2010;01/06/2010
1015979;MD;NOR;REN;12/03/2010;12/06/2010
1016003;MD;ABN;REN;04/02/2010;04/02/2010
1016003;MD;NOR;REN;05/02/2010;04/03/2011
1016019;MD;NOR;;05/03/2010;02/06/2010
1016019;MD;NOR;;13/06/2010;16/06/2010
1016019;DI;;VAC;03/06/2010;12/06/2010
1016180;MD;NOR;PCH;19/02/2010;19/03/2010
101636;MD;NOR;ACH;01/07/2008;01/07/2009
101637;MD;NOR;ACH;09/05/2008;30/06/2008
101637;MD;NOR;;02/07/2007;08/05/2008
101638;MD;NOR;;01/07/2006;30/06/2007
1016444;MD;NOR;PCH;19/02/2010;19/03/2010
1016498;MD;NOR;PCH;19/02/2010;19/03/2010
1016538;MD;NOR;ACH;19/02/2010;19/03/2010
1016542;MD;NOR;PCH;19/02/2010;19/03/2010
1016549;MD;NOR;PCH;19/02/2010;19/03/2010
1016756;MD;NOR;PCH;19/02/2010;19/03/2010
1016776;MD;NOR;PCH;19/02/2010;19/03/2010
1016780;MD;NOR;;19/02/2010;19/03/2010
1016795;MD;NOR;PCH;19/02/2010;19/03/2010
101686;MD;NOR;;03/01/2008;25/01/2008
101687;MD;NOR;;03/10/2007;02/01/2008
101688;MD;NOR;;03/07/2007;02/10/2007
101689;MD;NOR;;03/04/2007;02/07/2007
101690;MD;NOR;;03/01/2007;02/04/2007
1016923;MD;NOR;PCH;19/02/2010;19/03/2010
1017008;MD;NOR;PCH;19/02/2010;19/03/2010
1017058;MD;NOR;PCH;19/02/2010;19/03/2010
1017117;MD;NOR;PCH;19/02/2010;19/03/2010
1017458;MD;ABN;;04/02/2010;04/02/2010
1017458;MD;NOR;;05/02/2010;06/08/2010
101756;MD;NOR;;01/04/2008;30/03/2009
1017564;MD;ABN;;04/02/2010;04/02/2010
1017564;MD;NOR;;05/02/2010;02/04/2010
101757;MD;NOR;;02/04/2007;31/03/2008
101758;MD;NOR;;01/04/2006;31/03/2007
1017661;DR;NOR;VAC;09/07/2010;24/07/2010
1017661;MD;NOR;;08/05/2010;01/06/2010
1017661;MD;NOR;;25/06/2010;08/07/2010
1017661;MD;NOR;;25/07/2010;05/04/2011
1017661;MD;NOR;;06/03/2010;29/04/2010
1017661;DI;;VAC;30/04/2010;07/05/2010
1017661;DI;;VAC;02/06/2010;24/06/2010
1017690;MD;NOR;;06/03/2010;05/03/2011
1017760;MD;NOR;REN;06/02/2010;04/09/2010
1017760;MD;ABN;REN;05/02/2010;05/02/2010
1017761;MD;NOR;REN;06/02/2010;04/09/2010
1017761;MD;ABN;REN;05/02/2010;05/02/2010
1017807;MD;NOR;REN;06/03/2010;07/06/2010
1017925;MD;NOR;PCH;06/03/2010;07/06/2010
1018021;MD;NOR;PCH;26/02/2010;11/07/2010
1018021;MD;NOR;PCH;17/07/2010;03/08/2010
1018021;MD;NOR;PCH;01/09/2010;31/03/2011
1018021;DI;;VAC;04/08/2010;31/08/2010
1018021;DI;;VAC;12/07/2010;16/07/2010
1018115;MD;NOR;REN;06/02/2010;05/03/2010
1018115;MD;NOR;REN;09/03/2010;30/07/2010
1018115;MD;NOR;REN;07/08/2010;05/03/2011
1018115;MD;ABN;REN;05/02/2010;05/02/2010
1018115;DR;NOR;VAC;31/07/2010;06/08/2010
1018115;MD;ABN;REN;06/03/2010;08/03/2010
1018179;MD;NOR;;20/02/2010;20/03/2010
1018200;MD;NOR;PCH;20/02/2010;20/03/2010
1018322;MD;NOR;;20/02/2010;20/03/2010
1018387;MD;NOR;ACH;11/06/2010;15/06/2010
1018387;MD;NOR;ACH;26/06/2010;29/08/2010
1018387;MD;NOR;PCH;07/03/2010;11/04/2010
1018387;MD;NOR;PCH;17/04/2010;10/06/2010
1018387;MD;NOR;ACH;11/09/2010;05/04/2011
1018387;DI;;VAC;16/06/2010;25/06/2010
