FormulaID;FormulaCode;FormulaType;Duration
14967;0002;REG;3
14968;0002;REG;6
14969;0002;REG;12
14970;0001;REG;3
14971;0001;REG;6
14972;0001;REG;12
150;0010;REG;3
1504;9000;REG;12
1505;9000;REG;12
15050;0018;REG;3
15051;0018;REG;6
15052;0018;REG;12
15066;0070;CAM;12
151;0010;REG;3
15135;0200;REG;12
15140;0003;REG;3
15141;0001;REG;3
15142;0001;REG;6
15143;0001;REG;12
15150;0077;REG;3
15151;0077;REG;6
15152;0077;REG;12
15153;0077;REG;12
15158;0082;REG;3
15159;0082;REG;6
15160;0082;REG;12
15167;5003;REG;3
1518;0200;REG;3
15187;0082;REG;12
15194;0082;CAM;12
15210;0082;REG;12
15211;0082;REG;6
15212;0082;REG;3
15217;2048;REG;3
15222;0003;REG;3
15225;0071;REG;3
15226;0004;REG;3
15227;0001;REG;12
15229;0011;REG;3
15233;2055;REG;3
15236;0016;REG;3
15243;2046;REG;3
15247;0005;REG;3
15248;0005;REG;12
1525;0200;REG;12
15250;2062;REG;6
1526;0200;REG;12
15276;5005;REG;3
1528;0200;REG;12
153;0010;REG;6
15303;2099;REG;12
15304;2099;REG;6
15305;2099;REG;3
15311;2102;REG;6
1533;9000;REG;3
15333;2095;REG;3
1534;9000;REG;3
15340;2106;REG;3
154;0010;REG;6
15440;8000;CAM;12
155;0010;REG;6
156;0010;REG;6
15645;5005;CAM;3
15661;5005;CAM;3
1568;0011;CAM;1
1569;0011;CAM;1
1585;0003;CAM;3
15852;2051;CAM;1
1586;0003;CAM;3
159;0010;REG;12
1590;0003;CAM;3
15941;2034;CAM;6
1596;0003;REG;3
1597;0003;REG;3
1600;0001;CAM;3
16001;2051;CAM;12
1601;0001;CAM;3
1606;0001;REG;3
1607;0001;REG;3
16076;0001;REG;1
16077;0002;REG;1
1608;0001;REG;3
1611;0001;CAM;6
1612;0001;CAM;6
16137;0082;CAM;3
1617;0001;REG;6
1618;0001;REG;6
1621;0001;CAM;12
1622;0001;CAM;12
1623;0001;CAM;12
1627;0001;REG;12
1628;0001;REG;12
16364;0013;CAM;12
1651;0016;CAM;3
16620;0018;REG;1
16650;0077;CAM;12
1668;0013;CAM;3
16694;0082;CAM;12
1672;0013;CAM;3
16754;0001;CAM;12
1679;0013;REG;3
1684;0071;CAM;3
1685;0071;CAM;3
16875;0013;CAM;12
16997;2111;CAM;1
1702;0004;CAM;3
17138;2127;CAM;6
1718;0076;CAM;3
17240;9000;REG;1
1729;0077;REG;3
1730;0077;REG;3
1733;0077;REG;6
1734;0077;REG;6
1735;0077;REG;6
1739;0077;REG;12
1740;0077;REG;12
1743;0077;CAM;12
1744;0077;CAM;12
17444;2051;CAM;6
1748;0077;REG;12
1749;0077;REG;12
1801;0005;REG;12
1802;0005;REG;12
1816;0005;REG;6
1821;0012;CAM;3
1930;9000;REG;3
1931;9000;REG;6
1932;9000;REG;6
1933;9000;REG;12
1934;9000;REG;12
1938;0080;CAM;3
1966;0073;REG;6
2022;0013;CAM;3
2048;0003;REG;3
2052;0003;REG;6
2055;0003;REG;12
2056;0003;REG;12
2057;0003;REG;12
2058;0003;CAM;3
2061;0003;CAM;3
2062;0003;CAM;3
2067;0003;REG;3
2071;0003;REG;6
2076;0003;REG;12
2087;0006;CAM;3
2124;0984;CAM;3
2138;0082;CAM;3
2139;0082;CAM;3
2144;0082;REG;3
2145;0082;REG;3
2149;0082;CAM;6
2150;0082;CAM;6
2154;0082;REG;6
2155;0082;REG;6
2158;0082;CAM;12
2159;0082;CAM;12
2160;0082;CAM;12
2165;0082;REG;12
2169;0777;REG;1
2173;0777;REG;3
2174;0777;REG;3
2177;0777;REG;6
2178;0777;REG;6
2182;0777;CAM;12
2183;0777;CAM;12
2184;0777;CAM;12
2187;0777;REG;12
2188;0777;REG;12
2189;0777;REG;12
2218;0013;CAM;3
2219;0013;CAM;3
2268;0013;CAM;3
2288;0013;REG;12
2293;0013;CAM;3
23;0002;CAM;3
2318;0013;CAM;3
2502;0200;REG;6
2512;0989;CAM;3
252;0001;REG;1
2528;0110;REG;12
2533;0110;REG;6
2537;0110;REG;3
2538;0110;REG;3
254;0001;REG;1
2541;0076;REG;3
2542;0076;REG;3
2551;0076;CAM;12
2681;0076;REG;6
271;0002;REG;3
272;0002;REG;3
2720;0075;REG;12
273;0002;REG;3
274;0002;REG;3
2745;0199;REG;12
276;0002;REG;6
277;0002;REG;6
278;0002;REG;6
279;0002;REG;6
2799;0199;REG;6
281;0002;REG;12
282;0002;REG;12
283;0002;REG;12
284;0002;REG;12
2866;0014;CAM;12
2867;0014;CAM;12
2868;0014;CAM;12
2873;0014;REG;12
2878;0070;CAM;12
288;0001;REG;3
289;0001;REG;3
290;0001;REG;3
293;0001;REG;6
294;0001;REG;6
295;0001;REG;6
2967;0082;CAM;12
2968;0082;CAM;12
297;0001;REG;12
2973;0082;REG;12
298;0001;REG;12
2984;0082;CAM;3
2989;0082;REG;3
299;0001;REG;12
2991;0082;CAM;6
2995;0082;REG;6
2997;0082;CAM;3
30;0002;REG;3
300;0001;REG;12
3002;0082;REG;3
3018;0076;REG;12
3041;0199;REG;6
3066;0992;CAM;3
312;0013;CAM;3
3178;0001;CAM;3
3180;0001;CAM;3
3190;0003;CAM;3
3191;0003;CAM;3
3209;0992;CAM;3
3215;0992;REG;3
3216;0992;CAM;12
3221;0992;REG;12
3226;0006;CAM;3
3227;0006;CAM;3
3228;0006;CAM;3
3264;0082;CAM;3
327;0013;REG;12
328;0013;REG;12
3283;0013;CAM;3
3285;0013;CAM;3
3294;0199;CAM;12
3316;0989;CAM;3
3319;0989;CAM;3
3334;0006;CAM;3
3346;0400;CAM;3
3367;0001;CAM;12
3394;0210;REG;0
3464;0987;CAM;1
3465;0987;CAM;3
3472;0777;CAM;6
3476;0777;REG;6
3482;0016;CAM;3
3509;2000;CAM;3
3511;2000;CAM;3
3516;2000;REG;3
3518;2000;CAM;6
3525;5003;CAM;1
3526;5003;CAM;3
3530;5003;CAM;3
3531;5003;CAM;3
3536;5003;REG;3
3537;5003;REG;3
3568;0011;CAM;1
3583;5004;CAM;1
3593;5004;CAM;1
3594;5004;CAM;3
3599;5004;CAM;3
3605;5004;REG;3
3618;5005;CAM;3
3630;5005;CAM;3
3707;2007;CAM;6
3782;2011;CAM;1
3783;2011;CAM;3
3785;2011;CAM;3
3791;2011;CAM;3
3795;2012;CAM;1
3796;2012;CAM;3
3813;2013;CAM;1
3823;5003;CAM;1
3824;5003;CAM;3
3833;2014;CAM;1
3834;2014;CAM;3
3873;0005;REG;3
3878;0005;CAM;3
3888;0005;REG;6
3889;0005;REG;6
3894;0005;CAM;6
3904;0005;REG;12
3919;0005;REG;12
3978;2016;CAM;3
4068;9000;REG;1
4076;2013;CAM;24
4077;2013;CAM;12
4129;0005;REG;1
4142;0005;REG;1
4157;0005;REG;3
4192;0199;CAM;6
4199;2020;CAM;3
4229;2020;CAM;3
4237;0082;CAM;12
4242;0082;REG;12
4243;0082;CAM;6
4248;0082;REG;6
4259;0082;REG;3
4261;2022;CAM;6
4278;2023;CAM;3
4286;2023;CAM;3
4294;2024;CAM;1
4295;2024;CAM;3
43;0002;CAM;12
4302;2024;REG;3
4304;2025;CAM;1
4305;2025;CAM;3
4369;2029;CAM;1
4370;2029;CAM;3
44;0002;CAM;12
4414;0992;CAM;6
4419;0992;CAM;12
4430;2032;CAM;1
4431;2032;CAM;3
4438;2032;REG;3
4459;0016;CAM;3
4475;2034;CAM;3
4483;2035;CAM;1
45;0002;CAM;12
4522;2037;CAM;3
4560;2039;CAM;1
4573;2040;CAM;3
4608;2041;CAM;6
4654;2043;CAM;1
4688;2044;REG;1
4689;0199;CAM;12
4712;2036;CAM;1
4762;0070;CAM;12
4789;0013;CAM;3
4793;0077;CAM;12
4818;2024;CAM;3
4823;2032;CAM;3
4847;0005;CAM;1
4849;0082;CAM;12
4856;0082;CAM;6
4861;0082;REG;6
4863;0082;CAM;3
4869;0082;REG;3
49;0002;REG;12
4909;0003;CAM;3
4910;0006;CAM;3
4911;0013;CAM;3
4923;0001;REG;12
4924;0002;REG;12
4925;0001;REG;6
4926;0002;REG;6
4928;0002;REG;3
4963;0003;REG;3
4964;0003;REG;6
4965;0003;REG;12
4978;0777;REG;12
50;0002;REG;12
5015;0200;REG;3
5017;0200;REG;12
5020;0110;REG;3
5023;0076;REG;12
5067;0014;REG;12
5074;0082;REG;12
5076;0082;REG;3
5077;0082;REG;6
5078;0082;REG;3
5095;0001;REG;3
5096;0003;REG;3
5104;0082;REG;3
5106;0013;REG;3
5115;0001;REG;12
5122;0777;REG;6
5125;2000;REG;3
5134;2007;REG;6
5145;0005;REG;6
5164;0199;REG;6
5165;2020;REG;6
5171;2025;REG;3
5179;0992;REG;6
5180;0992;REG;12
5181;0016;REG;3
5183;2034;REG;3
5186;2036;REG;3
5196;2043;REG;3
5204;0777;CAM;12
5246;0014;CAM;12
5247;0070;CAM;12
5256;0082;CAM;12
5259;0082;CAM;6
5260;0082;CAM;3
5271;0001;CAM;3
5272;0003;CAM;3
5281;0013;CAM;3
5290;0001;CAM;12
5292;0014;CAM;12
5317;0005;CAM;12
5318;0005;CAM;6
5331;0199;CAM;6
5332;2020;CAM;6
5339;2025;CAM;3
5347;0016;CAM;3
5352;2036;CAM;3
5358;2041;CAM;6
5360;2043;CAM;3
5365;0199;CAM;12
5389;2044;REG;1
54;0003;CAM;3
5400;2045;CAM;1
5409;5003;CAM;3
5412;5004;CAM;3
5429;2043;CAM;3
5446;2046;CAM;6
5448;2046;CAM;6
5458;2047;CAM;1
5464;2047;CAM;3
5467;2047;CAM;3
5473;2047;REG;3
5490;0199;CAM;12
5498;0016;CAM;3
5504;2048;CAM;6
5510;2048;REG;3
5518;0082;CAM;3
5523;0082;CAM;3
5569;2034;CAM;3
5590;2047;CAM;1
5596;2047;CAM;3
5609;2047;REG;3
5610;2051;CAM;12
5631;0003;CAM;3
5633;0003;CAM;3
5639;0003;REG;3
5656;0013;CAM;3
5658;0013;CAM;3
5664;0013;REG;3
5671;0071;CAM;3
5673;0071;CAM;3
5679;0071;REG;3
5688;0004;CAM;3
5707;2052;CAM;3
5714;2052;CAM;3
5742;0001;CAM;12
5772;2052;CAM;3
5779;2052;CAM;3
5785;2052;REG;3
5808;0011;CAM;1
581;0016;CAM;3
5814;0011;CAM;3
5821;0011;CAM;3
5827;0011;REG;3
5830;2047;CAM;3
5860;2030;CAM;3
5909;5005;CAM;3
5911;5005;CAM;3
5917;5005;REG;3
5959;2055;CAM;3
5972;2055;CAM;3
5974;2055;CAM;3
5980;2055;REG;3
5984;2056;CAM;1
6004;0094;CAM;1
6005;0094;CAM;1
6013;2047;CAM;1
6028;2051;CAM;12
6044;2054;CAM;3
6086;0016;CAM;3
6088;0016;CAM;3
6100;2056;CAM;1
6102;2056;REG;1
6104;2047;CAM;1
6208;2046;CAM;1
6210;2046;CAM;3
6217;2046;CAM;3
6223;2046;REG;3
6225;0013;CAM;3
6236;0013;CAM;6
6238;0013;CAM;3
6299;0005;CAM;1
6305;0005;CAM;3
6311;0005;REG;3
6334;2060;CAM;6
64;0003;REG;6
6469;2062;CAM;6
6471;2062;CAM;6
6478;2062;CAM;3
6481;2062;CAM;6
65;0003;REG;6
6523;0777;CAM;6
6589;2065;CAM;1
669;0013;CAM;3
6737;2051;CAM;6
6744;2070;CAM;12
6811;2072;CAM;1
685;0013;REG;12
69;0003;REG;12
691;0013;CAM;3
6922;2070;CAM;12
6974;2076;CAM;1
6980;2076;CAM;3
6986;2076;REG;3
70;0003;REG;12
702;0013;REG;6
7022;0005;REG;3
7023;0005;REG;3
7024;0005;REG;12
7026;2060;REG;6
7027;0005;REG;12
7028;0005;REG;6
7029;2074;REG;12
7030;2074;REG;12
707;0013;REG;12
7091;2080;CAM;1
7097;2080;CAM;3
7104;2080;CAM;3
7116;2080;CAM;1
7122;2080;CAM;3
7129;2080;CAM;3
7235;2074;REG;24
7243;0013;CAM;12
7244;0013;CAM;12
7262;2074;REG;24
7270;2084;CAM;1
7272;2084;CAM;3
7279;2084;CAM;3
7460;0001;CAM;3
7461;0003;CAM;3
7463;0013;CAM;3
7482;0003;CAM;3
7485;0004;CAM;3
7488;2055;CAM;3
7493;2064;CAM;3
7525;5005;CAM;3
7532;5005;CAM;3
7544;5005;CAM;3
7564;2087;CAM;3
757;0013;CAM;3
7572;2087;REG;3
7594;2091;CAM;6
76;0004;CAM;3
7602;2051;CAM;12
7613;2091;REG;6
763;0013;REG;3
7641;2091;REG;6
7654;2091;REG;6
7687;2092;REG;12
7695;2093;CAM;1
7701;2093;CAM;3
7725;2091;REG;6
7784;0013;CAM;6
779;0017;CAM;3
7858;2095;REG;3
7875;2095;CAM;3
7906;2095;CAM;3
7915;2091;REG;12
795;0017;REG;12
8031;2025;CAM;1
8033;2025;CAM;3
8091;0013;CAM;6
81;0004;REG;3
8100;0013;CAM;12
8108;0013;CAM;12
8119;0013;CAM;6
8174;2034;CAM;6
8180;2034;CAM;6
822;0008;CAM;3
8221;0992;REG;12
8224;0992;CAM;12
8227;0992;CAM;6
8233;0992;CAM;3
827;0008;REG;3
832;0008;REG;6
837;0008;REG;12
8431;2097;CAM;6
8433;2097;CAM;6
8442;2097;CAM;6
8473;2095;CAM;3
8533;0002;REG;12
8542;0005;REG;3
8544;0005;REG;12
8548;0010;REG;3
8549;0010;REG;6
8551;0001;REG;1
8552;0002;REG;3
8553;0002;REG;6
8554;0002;REG;12
8555;0001;REG;3
8556;0001;REG;6
8557;0001;REG;12
863;0018;REG;3
8635;0018;REG;3
8636;0018;REG;6
8637;0018;REG;12
8638;0018;REG;1
8639;0001;REG;12
864;0018;REG;3
8640;0002;REG;12
8641;0001;REG;6
8642;0002;REG;6
8643;0001;REG;3
8644;0002;REG;3
865;0018;REG;3
866;0018;REG;3
868;0018;REG;6
869;0018;REG;6
870;0018;REG;6
871;0018;REG;6
8728;0200;REG;3
8729;0200;REG;6
873;0018;REG;12
8730;0200;REG;12
8736;0003;REG;3
8737;0001;REG;3
8738;0001;REG;6
8739;0001;REG;12
874;0018;REG;12
8746;0077;REG;3
8747;0077;REG;6
8748;0077;REG;12
8749;0077;REG;12
875;0018;REG;12
876;0018;REG;12
8788;0003;REG;3
8789;0003;REG;6
8790;0003;REG;12
880;0018;REG;1
8801;0082;REG;3
8802;0082;REG;6
8803;0082;REG;12
8806;0777;REG;12
881;0018;REG;1
882;0018;REG;1
883;0018;REG;1
8843;0200;REG;3
8845;0200;REG;12
889;0001;REG;12
8896;0014;REG;12
890;0001;REG;12
8903;0082;REG;12
8904;0082;REG;6
8905;0082;REG;3
8906;0082;REG;6
8907;0082;REG;3
891;0001;REG;12
8924;0001;REG;3
8925;0003;REG;3
8936;0013;REG;3
8937;0199;REG;12
894;0002;REG;12
8945;0001;REG;12
8947;0014;REG;12
895;0002;REG;12
8955;0777;REG;6
8958;2000;REG;3
896;0002;REG;12
8960;5003;REG;3
8974;2007;REG;6
898;0001;REG;6
8989;0005;REG;3
899;0001;REG;6
8990;0005;REG;6
8992;0005;REG;12
8993;0005;REG;6
8995;0005;REG;3
900;0001;REG;6
902;0002;REG;6
9021;0199;REG;6
9022;2020;REG;6
9026;0082;REG;12
9027;0082;REG;6
9028;0082;REG;3
903;0002;REG;6
9033;2024;REG;3
9034;2025;REG;3
904;0002;REG;6
9052;0992;REG;6
9053;0992;REG;12
9055;2032;REG;3
9059;0016;REG;3
9061;2034;REG;3
9069;2036;REG;3
907;0001;REG;3
908;0001;REG;3
9083;2041;REG;6
9087;2043;REG;3
9092;0082;CAM;12
9093;0082;REG;12
9094;0082;CAM;6
9095;0082;REG;6
9096;0082;CAM;3
9097;0082;REG;3
91;0004;REG;12
9104;2046;REG;6
9105;2047;REG;3
9109;2048;REG;3
9113;2047;REG;3
9117;2051;REG;6
9118;2052;REG;3
9120;0003;CAM;3
9121;0003;REG;3
9128;0071;REG;3
9130;0004;REG;3
9131;0001;CAM;12
9132;0001;REG;12
9136;0011;CAM;1
9137;0011;REG;3
914;0001;REG;1
9142;5005;REG;3
9145;2055;REG;3
9147;2055;REG;3
9154;0016;CAM;3
9155;0016;REG;3
9159;0082;REG;3
9165;2046;REG;3
9166;0013;REG;3
9167;0013;CAM;3
9168;0013;REG;3
917;0002;REG;3
9174;0005;REG;3
9176;0005;REG;12
9179;2060;REG;6
918;0002;REG;3
9182;0005;REG;12
9185;2062;REG;6
9186;2062;REG;6
919;0002;REG;3
92;0004;REG;12
9200;0005;REG;6
9226;2080;REG;3
923;0002;REG;1
9238;2084;REG;3
924;0002;REG;1
9247;2087;CAM;3
9251;5005;REG;3
9252;5005;REG;3
9255;2091;REG;6
9258;2091;REG;6
9269;2093;REG;3
9291;2095;CAM;3
9292;2095;REG;3
9293;2091;REG;12
9309;0013;REG;6
9316;2034;REG;6
9322;0992;REG;6
9348;2099;CAM;12
9350;2099;CAM;6
9351;2099;REG;6
9352;2099;CAM;3
9353;2099;REG;3
9416;0001;REG;1
9417;0002;REG;1
9419;0077;CAM;12
9424;0777;CAM;12
9442;0082;CAM;12
9453;0001;CAM;12
9454;0014;CAM;12
9465;2044;REG;1
9466;2044;REG;1
9492;2101;CAM;12
9494;2101;REG;12
952;0008;CAM;3
9555;0014;CAM;12
9567;0082;CAM;6
9568;0082;CAM;3
9569;0082;CAM;6
9570;0082;CAM;3
9583;0001;CAM;3
9584;0003;CAM;3
9585;0003;CAM;3
965;0008;CAM;3
9654;0005;CAM;3
9690;0082;CAM;12
9716;0199;CAM;12
9734;2051;CAM;12
9755;0013;CAM;3
9759;0005;CAM;12
9782;2074;CAM;12
9798;2080;CAM;3
9815;5005;CAM;3
9816;5005;CAM;3
9819;2091;CAM;6
9822;2092;CAM;12
9825;2093;CAM;3
9833;2092;CAM;1
9841;0013;CAM;6
9842;5005;CAM;12
9845;0992;CAM;12
9852;2025;CAM;1
9929;0094;CAM;1
9963;2013;CAM;12
9971;0082;CAM;12
9972;0082;CAM;6
