SubscriptionID	CustomerID	ProductID	Pattern		StartDate	EndDate	NbrNewspapers	NbrStart	RenewalDate	PaymentType	PaymentStatus	PaymentDate	FormulaID	GrossFormulaPrice	NetFormulaPrice	NetNewspaperPrice	ProductDiscount	FormulaDiscount	TotalDiscount	TotalPrice	TotalCredit
1003415	970937	8	1111110		17/02/2010	23/02/2011	304	10	24/01/2011	BT	Paid	28/01/2010	9093	267	267	0.878289	0	0	0	267	0
1003456	745453	8	1111110		18/02/2010	17/02/2011	304	10	18/01/2011	BT	Paid	11/02/2010	8637	267	267	0.878289	0	0	0	267	0
1003537	41098	8	1111110		16/02/2010	17/02/2011	304	10	18/01/2011	BT	Paid	27/01/2010	8637	267	267	0.878289	0	0	0	267	0
1003631	279181	7	1111110		16/02/2010	18/05/2010	76	10	19/04/2010	BT	Paid	4/02/2010	8644	79	79	1.039.474	0	0	0	79	0
1003649	951565	8	1111110		18/02/2010	18/02/2010	152	10	BT	Not	Paid	9104									
1003654	951331	8	1111110		16/02/2010	8/03/2011	304	10	BT	Paid	26/01/2010	4/12/1923	267	267	0.878289	0	0	0	267	0	
1003690	165892	8	1111110		18/02/2010	20/05/2010	76	10	20/04/2010	BT	Paid	18/02/2010	8801	79	79	1.039.474	0	0	0	79	0
1003725	277331	7	1111110		17/02/2010	19/05/2010	76	10	19/04/2010	BT	Paid	3/02/2010	8644	79	79	1.039.474	0	0	0	79	0
1003776	25909	6	1111110		18/02/2010	18/02/2010	76	10	BT	Not	Paid	8644									
1003815	795307	8	1111110		17/02/2010	19/05/2010	76	10	19/04/2010	BT	Paid	8/02/2010	8635	79	79	1.039.474	0	0	0	79	0
1003827	1109134	7	1111110		18/02/2010	31/05/2010	82	10	3/05/2010	BT	Paid	27/01/2010	9798	85.236.868	79	0.963415	0	6.236.868	6.236.868	79	0
1003876	500564	8	1111110		18/02/2010	20/05/2010	76	10	20/04/2010	BT	Paid	12/02/2010	8635	79	79	1.039.474	0	0	0	79	0
1003918	457626	2	1111110		18/02/2010	27/05/2010	76	10	27/04/2010	BT	Paid	9/02/2010	8644	79	79	1.039.474	0	0	0	79	0
1003921	687496	6	1111110		2/02/2010	3/05/2010	76	10	19/04/2010	DD	Paid	20/01/2010	8644	79	79	1.039.474	0	0	0	79	0
1003991	303317	8	1111110		17/02/2010	17/03/2010	25	25	15/02/2010	BT	Paid	8/02/2010	4688	22.9	22.9	0.916	0	0	0	22.9	0
1004019	755559	6	1111110		17/02/2010	19/05/2010	76	10	19/04/2010	BT	Paid	15/02/2010	8644	79	79	1.039.474	0	0	0	79	0
1004187	673006	2	1111110		4/02/2010	4/03/2010	25	25	16/02/2010	DD	Paid	20/01/2010	5389	22.9	22.9	0.916	0	0	0	22.9	0
1004332	674158	3	1111110		4/02/2010	4/03/2010	25	10	16/02/2010	DD	Paid	20/01/2010	9416	27	27	1.08	0	0	0	27	0
1004554	290109	5	1111110		21/01/2010	19/03/2010	50	25	9/03/2010	BT	Paid	26/01/2010	9584	519.737	29.6	0.592	0	223.737	223.737	29.6	0
1004568	482314	8	1111110		19/02/2010	26/02/2011	304	10	27/01/2011	BT	Paid	10/03/2010	8637	267	267	0.878289	0	0	0	267	0
1004583	240029	8	1111110		19/02/2010	18/02/2011	304	10	19/01/2011	BT	Paid	1/02/2010	8637	267	267	0.878289	0	0	0	267	0
1004751	905850	1	1111110		19/02/2010	21/05/2010	76	10	21/04/2010	BT	Paid	3/02/2010	8644	79	79	1.039.474	0	0	0	79	0
1004794	688093	5	1111110		19/02/2010	21/05/2010	76	10	21/04/2010	BT	Paid	5/02/2010	8644	79	79	1.039.474	0	0	0	79	0
1004876	812585	8	1111110		19/02/2010	21/05/2010	76	10	19/05/2010	BT	Paid	2/02/2010	8635	79	79	1.039.474	0	0	0	79	0
1004890	1134565	1	1111110		26/01/2010	4/05/2010	82	25	13/04/2010	BT	Paid	27/01/2010	9585	85.236.868	79	0.963415	0	6.236.868	6.236.868	79	0
1004895	455525	2	1111110		5/02/2010	5/03/2010	25	25	17/02/2010	DD	Paid	20/01/2010	5389	22.9	22.9	0.916	0	0	0	22.9	0
1004945	913232	2	1111110		31/01/2010	8/05/2010	82	10	8/04/2010	BT	Paid	28/01/2010	9583	85.236.868	79	0.963415	0	6.236.868	6.236.868	79	0
1004956	976975	6	1111110		5/02/2010	5/03/2010	25	25	17/02/2010	DD	Paid	20/01/2010	5389	22.9	22.9	0.916	0	0	0	22.9	0
1005109	149743	6	1111110		31/01/2010	2/03/2011	329	10	31/01/2011	BT	Paid	1/02/2010	9442	288.957.236	267	0.81155	0	21.957.236	21.957.236	267	0
1005451	737931	3	1111110		20/02/2010	21/04/2011	304	10	BT	Paid	9/02/2010	27/08/1923	267	267	0.878289	0	0	0	267	0	
1005470	266750	5	1111110		20/02/2010	10/03/2011	304	10	BT	Paid	29/01/2010	13/10/1924	267	267	0.878289	0	0	0	267	0	
1005612	712777	2	1111110		20/02/2010	22/05/2010	76	10	22/04/2010	BT	Paid	15/02/2010	9087	79	79	1.039.474	0	0	0	79	0
1005625	165836	8	1111110		20/02/2010	21/08/2010	152	10	22/07/2010	BT	Paid	17/02/2010	8802	148	148	0.973684	0	0	0	148	0
1005650	734387	2	1111110		20/02/2010	22/05/2010	76	10	22/04/2010	BT	Paid	3/02/2010	8907	79	79	1.039.474	0	0	0	79	0
1005679	662049	2	1111110		20/02/2010	10/03/2011	304	10	BT	Paid	8/02/2010	27/08/1923	267	267	0.878289	0	0	0	267	0	
1005738	4870	8	1111110		20/02/2010	22/05/2010	76	10	22/04/2010	BT	Paid	17/02/2010	8635	79	79	1.039.474	0	0	0	79	0
1005744	210354	8	1111110		20/02/2010	22/05/2010	76	10	22/04/2010	BT	Paid	19/02/2010	8635	79	79	1.039.474	0	0	0	79	0
1005828	868073	8	1111110		20/02/2010	22/05/2010	76	10	22/04/2010	BT	Paid	9/02/2010	9128	79	79	1.039.474	0	0	0	79	0
100593	89498	8	1111110		1/01/2008	30/12/2008	304	10	21/11/2008	BT	Paid	2/01/2008	875	249	249	0.811842	0	0	0	246.8	-2.2
100594	89498	8	1111110		2/01/2007	31/12/2007	304	25	1/12/2007	BT	Paid	3/01/2007	874	235	235	0.773026	0	0	0	235	0
1005971	855148	6	1111110		1/02/2010	31/01/2011	304	25	3/01/2011	BT	Paid	29/01/2010	8790	267	267	0.878289	0	0	0	267	0
1006070	662547	1	1111110		6/02/2010	6/03/2010	25	10	18/02/2010	DD	Paid	27/01/2010	9417	27	27	1.08	0	0	0	27	0
1006075	28962	8	1111110		22/01/2010	20/03/2010	50	25	23/03/2010	BT	Paid	3/02/2010	10017	519.737	29.6	0.592	0	223.737	223.737	29.6	0
1006112	106085	8	1111110		3/02/2010	3/03/2010	25	10	BT	Paid	27/01/2010	30/05/1923	27	27	1.08	0	0	0	27	0	
1006141	309653	2	1111110		13/02/2010	12/02/2011	304	10	28/01/2011	BT	Paid	28/01/2010	9555	267	146.85	0.483059	0	120.15	120.15	146.85	0
1006246	664927	2	0000010		21/02/2010	19/03/2011	52	4	BT	Paid	9/02/2010	17/04/1905	57.2	57.2	1.1	0	0	0	57.2	0	
1006259	137296	8	1111110		23/02/2010	25/03/2011	304	10	BT	Paid	10/02/2010	24/08/1923	267	267	0.878289	0	0	0	267	0	
1006478	207883	8	1111110		29/01/2010	6/05/2010	82	25	6/04/2010	BT	Paid	8/02/2010	9096	85.236.842	79	0.843415	0	6.236.842	6.236.842	69.16	-9.84
1006615	138977	3	0000010		21/02/2010	29/05/2010	13	4	29/04/2010	BT	Paid	17/02/2010	1930	14.3	14.3	1.1	0	0	0	14.3	0
1006632	947115	7	1111110		21/02/2010	25/05/2010	76	10	26/04/2010	BT	Paid	18/02/2010	8644	79	79	1.039.474	0	0	0	79	0
1006655	908515	7	0000010		21/02/2010	29/05/2010	13	4	29/04/2010	BT	Paid	10/02/2010	1930	14.3	14.3	1.1	0	0	0	14.3	0
1006678	279512	1	1111110		7/02/2010	8/05/2010	76	10	22/04/2010	DD	Paid	27/01/2010	8644	79	79	1.039.474	0	0	0	79	0
1006710	1151631	2	1111110		26/01/2010	24/04/2010	76	25	13/04/2010	BT	Paid	21/01/2010	9815	79	54	0.710526	0	25	25	54	0
1006722	814753	2	1111110		7/02/2010	8/03/2010	25	10	22/02/2010	DD	Paid	27/01/2010	9417	27	27	1.08	0	0	0	27	0
1006735	1134447	6	1111110		26/01/2010	4/03/2011	329	25	2/02/2011	BT	Paid	4/02/2010	9442	288.957.236	267	0.81155	0	21.957.236	21.957.236	267	0
1006850	152974	8	1111110		1/02/2010	31/01/2011	304	25	3/01/2011	BT	Paid	8/02/2010	8554	267	267	0.878289	0	0	0	267	0
100686	89563	8	1111110		1/01/2008	30/12/2008	304	10	21/11/2008	BT	Paid	17/12/2007	875	249	249	0.811842	0	0	0	246.8	-2.2
100687	89563	8	1111110		2/01/2007	31/12/2007	304	25	1/12/2007	BT	Paid	8/12/2006	874	235	235	0.773026	0	0	0	235	0
1006913	641351	1	1111110		27/01/2010	26/01/2011	304	25	27/12/2010	BT	Paid	12/02/2010	8640	267	267	0.878289	0	0	0	267	0
1007112	809750	8	1111110		26/01/2010	27/07/2010	152	25	20/07/2010	BT	Paid	4/02/2010	10014	148	104	0.684211	0	44	44	104	0
100712	89580	8	1111110		1/01/2008	30/12/2008	304	10	21/11/2008	BT	Paid	31/12/2007	875	249	249	0.811842	0	0	0	246.8	-2.2
100713	89580	8	1111110		2/01/2007	31/12/2007	304	25	1/12/2007	BT	Paid	4/01/2007	874	235	235	0.773026	0	0	0	235	0
1007136	47838	8	1111110		30/01/2010	15/05/2010	82	25	14/04/2010	BT	Paid	9/03/2010	9291	85.236.842	79	0.963415	0	6.236.842	6.236.842	79	0
1007155	802506	8	1111110		27/01/2010	4/05/2010	82	25	5/04/2010	BT	Paid	22/01/2010	9096	85.236.842	79	0.963415	0	6.236.842	6.236.842	79	0
1007160	25909	6	1111110		18/02/2010	18/03/2011	329	10	BT	Paid	12/02/2010	19/10/1925	288.957.237	267	0.81155	0	21.957.237	21.957.237	267	0	
1007193	642513	7	1111110		13/02/2010	13/02/2010	152	10	BT	Not	Paid	8789									
1007274	59533	2	1111110		26/01/2010	23/02/2011	329	25	24/01/2011	BT	Paid	4/02/2010	9442	288.957.236	267	0.81155	0	21.957.236	21.957.236	267	0
1007388	674253	1	1111110		24/02/2010	24/02/2011	304	10	25/01/2011	BT	Paid	19/02/2010	8640	267	267	0.878289	0	0	0	267	0
1007391	72144	8	1111110		24/02/2010	16/03/2011	304	10	BT	Paid	2/02/2010	24/08/1923	267	267	0.878289	0	0	0	267	0	
1007410	149185	8	1111110		23/02/2010	15/03/2011	304	10	BT	Paid	3/02/2010	24/08/1923	267	267	0.878289	0	0	0	267	0	
1007636	651251	7	1111110		23/02/2010	23/02/2011	304	10	24/01/2011	BT	Paid	11/02/2010	8640	267	267	0.878289	0	0	0	267	0
1007781	871981	6	1111110		24/02/2010	23/02/2011	304	10	24/01/2011	BT	Paid	23/02/2010	8640	267	267	0.878289	0	0	0	267	0
1008452	871773	2	1111110		24/02/2010	23/02/2011	304	10	10/02/2010	BT	Paid	9/02/2010	8903	267	267	0.878289	0	0	0	267	0
1008646	770532	6	1111110		24/02/2010	24/02/2010	152	10	BT	Not	Paid	8955									
1008680	805335	5	1111110		24/02/2010	25/08/2010	152	10	26/07/2010	BT	Paid	3/02/2010	8789	148	148	0.973684	0	0	0	148	0
1008702	243830	8	1111110		23/02/2010	24/08/2010	152	10	26/07/2010	BT	Paid	25/02/2010	8636	148	148	0.973684	0	0	0	148	0
1008728	793799	8	1111110		23/02/2010	24/08/2010	152	10	26/07/2010	BT	Paid	17/02/2010	8636	148	148	0.973684	0	0	0	148	0
1008736	1020508	8	1111110		23/02/2010	27/05/2010	76	10	26/04/2010	BT	Paid	4/02/2010	9147	79	79	1.039.474	0	0	0	79	0
1008810	71010	8	1111110		25/02/2010	28/05/2010	76	10	28/04/2010	BT	Paid	5/02/2010	8801	79	79	1.039.474	0	0	0	79	0
1008884	1105339	8	1111110		24/02/2010	27/05/2010	76	10	27/04/2010	BT	Paid	5/03/2010	9121	79	79	1.039.474	0	0	0	79	0
1008897	155841	8	1111110		24/02/2010	27/05/2010	76	10	27/04/2010	BT	Paid	9/02/2010	8635	79	79	1.039.474	0	0	0	79	0
1008997	81188	8	1111110		24/02/2010	7/06/2010	76	10	27/04/2010	BT	Paid	24/02/2010	8635	79	79	1.039.474	0	0	0	79	0
1009050	459548	2	1111110		25/02/2010	3/06/2010	76	10	4/05/2010	BT	Paid	22/02/2010	8644	79	79	1.039.474	0	0	0	79	0
1009142	1002789	2	1111110		25/02/2010	28/05/2010	76	10	28/04/2010	BT	Paid	3/03/2010	9087	79	79	1.039.474	0	0	0	79	0
1009148	135581	8	1111110		25/02/2010	25/02/2010	76	10	BT	Not	Paid	9142									
1009162	687377	3	1111110		9/02/2010	9/03/2010	25	10	22/02/2010	DD	Paid	27/01/2010	9417	27	27	1.08	0	0	0	27	0
1009179	501314	2	1111110		25/02/2010	28/05/2010	76	10	28/04/2010	BT	Paid	23/02/2010	8644	79	79	1.039.474	0	0	0	79	0
1009182	1120786	8	1111110		25/02/2010	28/05/2010	76	10	12/05/2010	BT	Paid	8/02/2010	9121	79	79	1.039.474	0	0	0	79	0
1009243	52794	8	1111110		11/02/2010	11/03/2010	25	25	23/02/2010	DD	Paid	27/01/2010	4688	22.9	22.9	0.916	0	0	0	22.9	0
1009245	793341	8	1111110		10/02/2010	10/03/2010	25	10	22/02/2010	DD	Paid	27/01/2010	8638	27	27	1.08	0	0	0	27	0
1009264	663403	2	1111110		9/02/2010	9/03/2010	25	10	22/02/2010	DD	Paid	27/01/2010	9417	27	27	1.08	0	0	0	27	0
1009322	67723	8	1111110		11/02/2010	11/03/2010	25	25	23/02/2010	DD	Paid	27/01/2010	4688	22.9	22.9	0.916	0	0	0	22.9	0
1009446	130858	8	1111110		27/01/2010	25/03/2010	50	25	17/03/2010	BT	Paid	12/02/2010	10017	519.737	29.6	0.592	0	223.737	223.737	29.6	0
1009511	1114479	1	1111110		7/02/2010	8/03/2011	329	10	BT	Paid	8/02/2010	19/10/1925	288.957.237	267	0.81155	0	21.957.237	21.957.237	267	0	
1009622	213350	8	1111110		28/01/2010	27/01/2011	304	25	28/12/2010	BT	Paid	3/02/2010	8554	267	267	0.878289	0	0	0	267	0
100976	89721	8	1111110		1/01/2008	30/06/2008	152	10	2/06/2008	BT	Paid	7/01/2008	870	138	138	0.893421	0	0	0	135.8	-2.2
100977	89721	8	1111110		2/07/2007	31/12/2007	153	25	1/12/2007	BT	Paid	3/07/2007	869	127	127	0.830065	0	0	0	127	0
100978	89721	8	1111110		2/01/2007	30/06/2007	151	25	BT	Paid	4/01/2007	18/05/1902	127	127	0.84106	0	0	0	127	0	
1009867	197221	8	1111110		26/02/2010	25/02/2011	304	10	26/01/2011	BT	Paid	3/02/2010	8637	267	267	0.878289	0	0	0	267	0
1009919	48033	8	1111110		26/02/2010	25/02/2011	304	10	26/01/2011	BT	Paid	22/02/2010	8637	267	267	0.878289	0	0	0	267	0
1009920	455810	2	1111110		26/02/2010	3/03/2011	304	10	19/08/2010	BT	Paid	2/03/2010	8640	267	267	0.878289	0	0	0	267	0
1009942	598974	7	1111110		26/02/2010	19/03/2011	304	10	13/08/2010	BT	Paid	24/02/2010	8640	267	267	0.878289	0	0	0	267	0
1009992	791847	6	1111110		26/02/2010	26/02/2010	304	10	BT	Not	Paid	8896									
1010012	245884	8	1111110		26/02/2010	29/05/2010	76	10	29/04/2010	BT	Paid	4/02/2010	9097	79	79	1.039.474	0	0	0	79	0
1010151	1120343	8	0000010		30/01/2010	6/02/2010	52	4	BT	Not	Paid	9492	57.2	45	0.865385	0	12.2	12.2	0	0	
1010228	883431	8	1111110		28/01/2010	27/01/2011	304	25	BT	Paid	26/01/2010	2/07/1916	259	130	0.427632	0	129	129	130	0	
1010248	971424	8	1111110		28/01/2010	27/01/2011	304	25	BT	Paid	26/01/2010	2/07/1916	259	130	0.427632	0	129	129	130	0	
1010293	951565	8	1111110		18/02/2010	18/03/2011	329	10	BT	Paid	5/02/2010	14/10/1925	288.957.237	267	0.81155	0	21.957.237	21.957.237	267	0	
1010402	1138616	8	1111110		28/01/2010	27/01/2011	304	25	BT	Paid	26/01/2010	2/07/1916	259	130	0.427632	0	129	129	130	0	
1010450	1130881	2	0000010		6/02/2010	19/02/2011	52	4	20/01/2011	BT	Paid	3/03/2010	1934	57.2	57.2	1.1	0	0	0	57.2	0
1010468	1152263	6	1111110		28/01/2010	26/03/2010	50	25	18/03/2010	BT	Paid	8/02/2010	9584	519.737	29.6	0.592	0	223.737	223.737	29.6	0
1010551	814277	6	1111110		27/02/2010	26/02/2011	304	10	27/01/2011	BT	Paid	1/03/2010	8640	267	267	0.878289	0	0	0	267	0
1010610	873499	2	1111110		27/02/2010	26/02/2011	304	10	27/01/2011	BT	Paid	16/02/2010	8640	267	267	0.878289	0	0	0	267	0
1010626	307788	8	1111110		27/02/2010	17/03/2011	304	10	BT	Paid	1/03/2010	24/08/1923	267	267	0.878289	0	0	0	267	0	
1010643	968445	8	0000110		27/02/2010	15/05/2010	104	8	BT	Not	Paid	1505	57.2	57.2	1.1	0	0	0	0	0	
1010745	53104	2	1111110		27/02/2010	26/02/2011	304	10	27/01/2011	BT	Paid	11/03/2010	8790	267	267	0.878289	0	0	0	267	0
1010772	496478	6	1111110		27/02/2010	31/05/2010	76	10	3/05/2010	BT	Paid	18/02/2010	8644	79	79	1.039.474	0	0	0	79	0
1010832	7797	8	1111110		27/02/2010	31/05/2010	76	10	3/05/2010	BT	Paid	17/02/2010	8635	79	79	1.039.474	0	0	0	79	0
1010854	1131002	8	1111110		30/01/2010	7/05/2010	82	25	7/04/2010	BT	Paid	8/02/2010	9154	85.236.842	79	0.963415	0	6.236.842	6.236.842	79	0
1010881	672056	8	1111110		27/02/2010	31/05/2010	76	10	3/05/2010	BT	Paid	24/02/2010	8635	79	79	1.039.474	0	0	0	79	0
